ID,Num,Time,TransX,TransY,TransZ,RotX,RotY,RotZ
150,28,1441926063900,-4.3766007,6.0621185,2.920926,0.08422305,-1.6365844,-0.5109506
150,28,1441926063908,-4.6830587,5.602432,3.3423057,0.04390594,-1.5217416,-0.43764678
150,28,1441926063928,-4.8841715,5.4683566,3.4859576,-0.0538325,-1.3079388,-0.39732966
150,28,1441926063929,-5.00867,5.1523223,3.2752678,-0.17234036,-1.0782535,-0.3875558
150,28,1441926063942,-4.9799395,4.903325,3.0933087,-0.28351784,-0.85589856,-0.38389063
150,28,1441926063966,-4.7979803,4.414908,2.873042,-0.3739259,-0.6970736,-0.34601697
150,28,1441926063967,-4.6830587,3.964798,2.6527755,-0.3739259,-0.58833957,-0.34601697
150,28,1441926063968,-4.644751,3.7541082,2.432509,-0.4264603,-0.58833957,-0.28004354
150,28,1441926063978,-4.673482,3.4380736,2.4229321,-0.4789947,-0.46127963,-0.20918317
150,28,1441926064000,-4.5777135,3.2561142,2.4037786,-0.5608507,-0.328111,-0.141988
150,28,1441926064001,-4.4340615,3.3135753,2.3942018,-0.663476,-0.20715968,-0.08823185
150,28,1441926064008,-3.9839516,3.6008794,2.432509,-0.7770969,-0.09720393,-0.01859321
150,28,1441926064029,-3.6104562,3.667917,2.2409728,-0.92126113,0.08239045,0.049823698
150,28,1441926064030,-3.1028855,3.8498764,2.135628,-1.0422125,0.21922426,0.13290137
150,28,1441926064039,-2.8538885,4.405331,2.3558946,-1.1656072,0.2485458,0.23308326
150,28,1441926064064,-2.7964275,5.1810527,2.6144683,-1.307328,0.20700696,0.32471305
150,28,1441926064065,-2.6527755,5.985504,2.815581,-1.4429401,0.14469871,0.37480402
150,28,1441926064068,-2.767697,6.9144545,2.9975405,-1.5370133,0.13003793,0.37236056
150,28,1441926064086,-2.8443117,7.5944076,3.3901896,-1.5858825,0.15935947,0.32837826
150,28,1441926064095,-2.9017725,8.1402855,3.6774938,-1.6347518,0.22288945,0.28683943
150,28,1441926064106,-3.083732,8.619126,3.7828386,-1.6750689,0.31451926,0.2819525
150,28,1441926064108,-3.0550013,9.471462,4.012682,-1.7031686,0.41225767,0.30516538
150,28,1441926064130,-2.815581,9.787497,4.232949,-1.6921731,0.4977788,0.33570862
150,28,1441926064130,-1.6089035,12.066776,3.8786068,-1.5651131,0.5222134,0.34792593
150,28,1441926064146,-0.59376204,13.589489,4.405331,-1.4282793,0.5271003,0.4505513
150,28,1441926064163,0.047884032,14.54717,4.357447,-1.2987759,0.5405394,0.50186396
150,28,1441926064163,0.5746084,15.428236,4.185065,-1.1399509,0.42691845,0.438334
150,28,1441926064179,0.7086837,15.705963,4.280833,-0.9957867,0.31574097,0.2819525
150,28,1441926064180,0.641646,15.591042,4.6351743,-0.94936097,0.29863673,0.047380235
150,28,1441926064195,0.8714894,15.47612,4.951209,-1.0165561,0.34750596,-0.17741817
150,28,1441926064212,0.8714894,15.112201,4.76925,-1.1313988,0.50022227,-0.33746487
150,28,1441926064212,0.7661445,14.949395,4.462792,-1.1949288,0.69569916,-0.41687736
150,28,1441926064229,0.50757074,14.748282,4.060566,-1.1949288,0.74456835,-0.41687736
150,28,1441926064229,0.41180268,14.4130945,4.1946416,-1.1485031,0.74456835,-0.3985514
150,28,1441926064245,0.24899697,14.18325,4.5872903,-1.02633,0.62483877,-0.28737393
150,28,1441926064261,0.23942018,13.819332,4.8745947,-0.8626181,0.4452444,-0.14320973
150,28,1441926064262,0.22984336,13.40753,5.085284,-0.6537022,0.24365887,-0.023480132
150,28,1441926064278,0.08619126,13.005303,5.085284,-0.446008,0.08972083,0.03516293
150,28,1441926064279,-0.25857377,12.545617,4.999093,-0.21998784,0.027412578,0.029054279
150,28,1441926064294,-0.41180268,11.990162,4.8937483,-0.03428481,0.042073343,-0.030810516
150,28,1441926064310,-0.49799395,11.444284,4.6926355,0.07200574,0.09705122,-0.11999684
150,28,1441926064311,-0.5363012,10.783484,4.5202527,0.12331842,0.15080735,-0.19207893
150,28,1441926064327,-0.63206923,10.323798,4.31914,0.1465313,0.21433735,-0.24339162
150,28,1441926064328,-0.63206923,10.055647,4.1180267,0.134314,0.26320657,-0.24339162
150,28,1441926064343,-0.7661445,9.710882,4.1276035,0.12576188,0.25831965,-0.18474856
150,28,1441926064360,-0.7278373,9.452309,4.0797195,0.09399689,0.20945042,-0.11144473
150,28,1441926064360,-0.7374141,9.222465,4.1180267,0.08055785,0.14347698,-0.032032248
150,28,1441926064376,-0.7182605,9.107543,4.1180267,0.089109965,0.12148582,0.03638466
150,28,1441926064378,-0.7182605,8.973468,3.9839516,0.12576188,0.13492486,0.07548004
150,28,1441926064393,-0.5363012,8.848969,3.8307228,0.18196149,0.1483639,0.09624945
150,28,1441926064411,-0.37349546,8.858546,3.7349546,0.23327416,0.15935947,0.12557098
150,28,1441926064411,-0.24899697,8.829816,3.6296098,0.26137397,0.14714217,0.14267522
150,28,1441926064426,-0.22984336,8.781932,3.620033,0.26259568,0.12270755,0.12679271
150,28,1441926064428,-0.12449849,8.734048,3.6966474,0.22105686,0.10315987,0.08891907
150,28,1441926064442,-0.076614454,8.628703,3.6487634,0.1501965,0.10682506,0.033941202
150,28,1441926064459,0.05746084,8.226477,3.9264908,0.067118816,0.16913332,-0.012484559
150,28,1441926064459,-0.047884032,8.1402855,3.9360676,-0.013515393,0.30963233,-0.006375906
150,28,1441926064475,-0.25857377,8.312668,3.7062242,-0.05627596,0.53076553,0.042493314
150,28,1441926064478,-0.11492168,8.418014,3.371036,-0.05627596,0.65538204,0.14756213
150,28,1441926064491,-0.45010993,7.728483,3.8115692,-0.020845776,0.65538204,0.14756213
150,28,1441926064508,-0.39264908,8.504205,3.7924154,0.06467536,0.610178,0.2538527
150,28,1441926064508,0.11492168,8.887277,3.667917,0.15752688,0.4281402,0.25140923
150,28,1441926064524,0.1340753,8.360553,2.6144683,0.23327416,0.28275424,0.23919192
150,28,1441926064528,0.25857377,8.169016,3.0071173,0.27359128,0.22044599,0.20742694
150,28,1441926064542,-0.8523358,8.7532015,5.602432,0.041462477,0.31940615,0.10724503
150,28,1441926064557,-1.1779473,9.662998,4.0892963,-0.53519434,0.99624485,-0.035697438
150,28,1441926064558,-0.40222588,8.686164,3.4380736,-0.8626181,0.4452444,-0.16153568
150,28,1441926064574,-0.2873042,8.169016,3.4859576,-0.7013497,-0.23892467,-0.23972642
150,28,1441926064578,-0.45010993,8.686164,3.667917,-0.2822961,-0.23892467,-0.27271315
150,28,1441926064592,-0.6991069,8.599973,4.271256,0.09644035,-0.025121834,-0.15542702
150,28,1441926064608,-0.7374141,8.7053175,4.3287168,0.23327416,0.05795584,-0.017371481
150,28,1441926064608,-0.91937345,9.050082,4.7022123,0.21372648,-0.11064297,0.016836973
150,28,1441926064625,-0.9672575,9.097966,4.644751,0.15386169,-0.17905988,-0.039362628
150,28,1441926064628,-0.92895025,8.7053175,4.5298295,0.09399689,-0.18272507,-0.13954453
150,28,1441926064641,-1.0726024,8.6095495,3.9456444,0.058566704,-0.15951219,-0.24339162
150,28,1441926064656,-1.043872,8.868123,3.9935284,0.031688634,-0.14240795,-0.33746487
150,28,1441926064658,-1.2162545,8.734048,4.309563,-0.064828075,-0.09353874,-0.30325642
150,28,1441926064672,-1.1300632,8.552089,4.213795,-0.2664136,-0.09720393,-0.2226222
150,29,1441926064678,-1.0726024,8.561666,4.4340615,-0.4423428,-0.20715968,-0.15176183
150,29,1441926064690,-0.8619126,8.858546,4.4819455,-0.53641605,-0.23892467,-0.13099241
150,29,1441926064706,-0.7565677,8.724471,4.2425256,-0.51686835,-0.20715968,-0.09067531
150,29,1441926064708,-0.6895301,8.714894,4.1276035,-0.35926512,-0.15829046,-0.024701864
150,29,1441926064723,-0.6991069,8.7532015,4.213795,-0.1417971,-0.11919508,0.042493314
150,29,1441926064728,-0.7757214,8.734048,4.2999864,0.07078401,-0.08620836,0.07181484
150,29,1441926064739,-0.8331822,8.810662,4.223372,0.18073976,-0.032452215,0.05837581
150,29,1441926064755,-0.94810385,8.839393,4.185065,0.18073976,0.017638734,0.05837581
150,29,1441926064758,-1.0726024,8.724471,4.185065,0.16607898,0.017638734,0.009506591
150,29,1441926064772,-1.1492168,8.552089,4.0701427,0.061010167,0.04085161,-0.052801665
150,29,1441926064778,-1.3694834,8.418014,3.8881836,-0.070936725,0.03352123,-0.09800569
150,29,1441926064789,-1.532289,8.350976,3.8881836,-0.14668402,0.049403727,-0.09922742
150,29,1441926064806,-1.5514427,8.341399,4.0318356,-0.15157095,0.07261661,-0.07723627
150,29,1441926064808,-1.541866,8.37013,4.1371803,-0.15034921,0.043295074,-0.04547128
150,29,1441926064823,-1.4460979,8.39886,4.2042184,-0.14668402,-0.027565295,-0.0027107145
150,29,1441926064828,-1.3503298,8.408437,4.1946416,-0.15034921,-0.07399105,0.016836973
150,29,1441926064853,-1.4748282,8.571242,4.280833,-0.124692865,-0.10942124,0.05593235
150,29,1441926064853,-1.7238252,8.628703,4.4915223,-0.05505423,-0.1521818,0.13167964
150,29,1441926064858,-1.7238252,8.628703,4.7788267,0.054901514,-0.23525947,0.18665752
150,29,1441926064873,-1.7429788,8.456321,4.7788267,0.15508342,-0.28046352,0.20742694
150,29,1441926064878,-1.8195933,8.485051,4.817134,0.2186134,-0.20715968,0.21720077
150,29,1441926064893,-2.0590134,8.580819,4.5681367,0.26137397,-0.07154759,0.21231385
150,29,1441926064910,-2.3558946,8.686164,4.3957543,0.26137397,0.03718642,0.1903227
150,29,1441926064911,-2.6719291,8.695741,4.3287168,0.2186134,0.06650795,0.15977944
150,29,1441926064926,-3.016694,8.6095495,4.3287168,0.14530957,0.07383834,0.14023176
150,29,1441926064928,-3.3039982,8.331821,4.2042184,0.08055785,0.08239045,0.16955328
150,29,1441926064942,-3.6296098,8.034941,3.964798,0.04879286,0.06650795,0.26484826
150,29,1441926064960,-4.156334,8.025364,4.0701427,0.056123246,0.017638734,0.40412554
150,29,1441926064961,-4.8841715,8.1881695,4.405331,0.06956228,-0.09720393,0.5091944
150,29,1441926064976,-5.7269306,8.504205,4.912902,0.058566704,-0.19005544,0.49819878
150,29,1441926064978,-6.4164605,8.63828,5.48751,-0.0061850105,-0.027565295,0.37236056
150,29,1441926064993,-6.6175733,8.513782,5.4204726,-0.07826711,0.3279583,0.20864867
150,29,1441926065012,-6.6846113,8.456321,5.0374002,-0.1295798,0.7457901,0.09502772
150,29,1441926065013,-6.5122285,8.312668,4.6351743,-0.1295798,1.0866529,0.10968849
150,29,1441926065029,-6.291962,7.97748,4.357447,-0.20288362,1.0866529,0.10968849
150,29,1441926065030,-6.081272,8.00621,4.76925,-0.31894803,1.2625821,0.22941808
150,29,1441926065067,-5.00867,8.63828,5.267244,-0.49487722,1.3615422,0.50430745
150,29,1441926065068,-4.223372,8.734048,5.094861,-0.60116774,1.3505467,0.84272677
150,29,1441926065068,-2.825158,9.184157,5.5641246,-0.48754683,1.0316751,1.077299
150,29,1441926065068,-2.384625,9.624691,6.0046577,-0.210214,0.7885507,1.2581152
150,29,1441926065078,-2.0590134,9.902418,6.2728086,0.09277516,0.77144647,1.3350842
150,29,1441926065096,-1.5610195,10.419566,6.205771,0.30657798,1.0011318,1.2654456
150,29,1441926065107,-0.48841715,10.649409,5.889736,0.37988183,1.3798683,1.1530464
150,29,1441926065108,0.82360536,10.524911,5.391742,0.37132972,1.6962965,1.0809642
150,29,1441926065132,2.3463178,10.409989,4.644751,0.3224605,1.8013653,1.0968467
150,29,1441926065133,3.4476504,10.745177,3.8786068,0.33223432,1.7317266,1.1811461
150,29,1441926065138,4.3861775,11.089942,3.715801,0.37743837,1.5093716,1.2715542
150,29,1441926065156,4.960786,11.827356,3.821146,0.383547,1.181948,1.3216451
150,29,1441926065158,5.391742,12.593501,4.2904096,0.32734743,0.76411605,1.2397892
150,29,1441926065175,5.650316,13.512875,5.1810527,0.19784398,0.4293619,0.96612155
150,29,1441926065178,5.401319,14.891934,6.0716953,0.025579982,0.4281402,0.64969337
150,29,1441926065192,5.0661306,15.064317,5.851429,-0.058719423,0.5099961,0.38457784
150,29,1441926065215,5.1906295,15.44739,5.765238,0.097662084,0.5234352,0.19154443
150,29,1441926065216,5.2480903,15.20797,5.841852,0.3945426,0.5979607,0.13045791
150,29,1441926065218,5.3725886,15.064317,5.8322754,0.72929674,0.6333909,0.13045791
150,29,1441926065228,5.554548,14.81532,5.803545,1.040838,0.6089563,0.1744402
150,29,1441926065250,5.5737014,13.570335,5.2480903,1.290071,0.5271003,0.19520962
150,29,1441926065251,5.803545,12.689269,4.759673,1.5026522,0.4733442,0.1781054
150,29,1441926065258,5.6982,11.81778,4.55856,1.6101644,0.41592288,0.1463404
150,29,1441926065281,5.793968,11.386824,4.271256,1.6101644,0.30841058,0.11091022
150,29,1441926065282,6.042965,11.089942,3.9264908,1.6101644,0.14347698,0.11091022
150,29,1441926065288,6.2823853,10.821792,3.620033,1.5722908,0.14347698,0.0779235
150,29,1441926065314,6.5218053,10.67814,3.5051112,1.5649604,0.002977968,-0.022258403
150,29,1441926065315,6.6846113,10.381259,3.4859576,1.5796212,-0.055665094,-0.17375298
150,29,1441926065318,6.751649,9.883265,3.2082303,1.5637387,-0.02023491,-0.3631212
150,29,1441926065328,6.6079965,9.078813,2.834735,1.5197563,0.061621033,-0.54760253
150,29,1441926065352,6.3685765,8.264784,2.3654714,1.4708872,0.094607756,-0.6624452
150,29,1441926065353,6.042965,7.690176,2.2218192,1.4501177,0.0017562376,-0.6648886
150,29,1441926065364,5.439626,7.297527,2.3080103,1.4708872,-0.19372064,-0.58303267
150,29,1441926065368,4.7979803,6.7612257,2.231396,1.4782175,-0.436845,-0.49384636
